size,mflop
31,6266.19
32,8646.55
96,8390.76
97,7056.58
127,7537.47
128,8233.05
129,7226.17
191,7701.22
192,8176.86
229,7585.3
255,7829.63
256,8148.97
257,7664.66
319,7877.69
320,8191.24
321,7747.39
417,7810.66
479,7927.79
480,8135.54
511,7947.93
512,8101.11
639,7989.59
640,8133.89
767,8003.91
768,8164.39
769,7950.52
1023,8002.24
1024,7868.23
1025,7953.49
1525,7299.51
1526,7338.9
1527,7319.88
