size,mflop
31,2785.63
32,3262.05
96,3692.46
97,3784.08
127,3728.91
128,1982.07
129,3879.53
191,2708.13
192,1870.71
229,2557.55
255,2549.99
256,943.657
257,2622.08
319,2569.05
320,1815.33
321,2596.91
417,2520.04
479,2146.77
480,1815.11
511,2483.26
512,935.608
639,1774.38
640,946.826
767,1658.56
768,724.897
769,1578.39
1023,571.881
1024,355.847
1025,446.46
1525,663.89
1526,690.281
1527,798.407
