size,mflop
31,3965.45
32,5771.6
96,6072.82
97,4857.11
127,4191.99
128,4368.03
129,4221.76
191,4550.65
192,4726.95
229,4395.07
255,4321.7
256,4323.09
257,4284.18
319,4307.73
320,4435.93
321,4298.77
417,4310.45
479,4318.51
480,4430.59
511,3836.8
512,3434.53
639,4215.83
640,4092.3
767,4211.47
768,4147.98
769,4231.66
1023,3245.84
1024,2897.46
1025,3223.56
1525,4413.24
1526,4423.19
1527,4217.3
