size,mflop
31,2640.5
32,2975.54
96,2122.62
97,2123.27
127,2172.41
128,2172.2
129,2104.09
191,2144.08
192,2152.46
229,2158.91
255,2167.46
256,2159.89
257,2120.96
319,2149.8
320,2154.47
321,2154.15
417,2052.94
479,2032.35
480,2033.9
511,2051.62
512,2052.09
639,2090.05
640,2093.44
767,2116.63
768,2119.32
769,2108.66
1023,2149.73
1024,2151.49
1025,2136.95
1525,2190.81
1526,2192.15
1527,2189.78
