size,mflop
31,3635.5
32,4830.08
96,5672.75
97,4607.94
127,4412.53
128,5680.59
129,4559.02
191,4451.06
192,5634.37
229,4452.47
255,4506.55
256,5592.16
257,4665.22
319,4527.9
320,5389.93
321,4497.28
417,4563.62
479,4557.99
480,5501.94
511,4572.05
512,5597.21
639,4608.49
640,5586.51
767,4604.57
768,5477.69
769,4311.95
1023,4580.94
1024,5585.04
1025,4475.71
1525,2720.65
1526,2194.66
1527,2822.97
