size,mflop
31,2613.04
32,3142.65
96,3886.49
97,3814.8
127,3752.21
128,1773.67
129,3891.35
191,3746.38
192,1882.45
229,3829.71
255,3821.91
256,848.628
257,3889.34
319,3774.51
320,1888.54
321,3845.1
417,3729.15
479,2702.33
480,1932.99
511,3232.74
512,832.796
639,1895.43
640,841.93
767,1818.98
768,775.443
769,1763.34
1023,656.536
1024,709.53
1025,1491.04
1525,1388.22
1526,1507.07
1527,1561.24
