size,mflop
31,2565.82
32,3288.48
96,4831.22
97,4801.36
127,5076.96
128,5249.02
129,4521.96
191,5203.74
192,5400.79
229,5211.28
255,5238.39
256,5688.07
257,5270.22
319,5433.09
320,5541.92
321,5429.99
417,5581.7
479,5456.83
480,5519.78
511,5432.28
512,5810.04
639,5472.66
640,5787.5
767,5506.63
768,5788.96
769,5607.12
1023,5559.42
1024,5789.66
1025,5579.59
1525,5541.19
1526,5595.44
1527,5535.7
