size,mflop
31,1922.11
32,2424.06
96,2404.02
97,1997.21
127,2036.13
128,2236.5
129,2011.89
191,2043.01
192,2345.54
229,2026.36
255,2043.32
256,1781.94
257,2031.93
319,2051.81
320,2327.91
321,2042.3
417,2044.08
479,2045.78
480,2372.64
511,1969.73
512,1286.99
639,2035.49
640,2184.89
767,2018.1
768,1779.33
769,2012.72
1023,1952.37
1024,1270.96
1025,1943.35
1525,1711.3
1526,1823.2
1527,1568.05
