size,mflop
31,3646.59
32,4773.85
96,5662.52
97,4616.62
127,4507.39
128,5812.38
129,4690.79
191,4467.96
192,5693.09
229,4437.72
255,4469.17
256,5581.14
257,4652.69
319,4419.71
320,5363.87
321,4475.36
417,4543.29
479,4503.14
480,5379.1
511,4544.08
512,5424.18
639,4581.85
640,5444.56
767,4581.95
768,5509.36
769,4574.48
1023,3997.62
1024,4749.57
1025,3799.79
1525,1415.98
1526,951.446
1527,1295.01
